DateTime,ExternalT,ExternalRH,ExternalPw,RoomT,RoomRH,RoomPw,DelPw,Season,RetrofitStatus,HomeID,BuiltType,BuiltYear,Occupants,Income,RoomType,RoomDPT
2016-06-30T21:00:00Z,12.1,88,1.24,21,56,1.41,-0.16,Non-Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,12
2016-08-30T17:00:00Z,18.4,69,1.46,24.9,53,1.67,-0.2,Non-Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,14.7
2015-05-14T12:00:00Z,9.8,80,0.97,17.5,50,1,-0.07,Heating,Pre Retrofit,H01,ET,1994,1,17433,Living Room,7
2015-11-13T13:00:00Z,7,76,0.76,17,48,0.94,-0.19,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,6.1
2016-04-28T22:00:00Z,2.3,80,0.58,21,35,0.87,-0.33,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,5
2015-03-28T23:00:00Z,7.9,76,0.81,19.5,45,1.02,-0.27,Heating,Pre Retrofit,H01,ET,1994,1,17433,Living Room,7.3
2016-04-09T14:00:00Z,6.2,62,0.59,21.8,37,0.97,-0.43,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,6.5
2016-06-09T13:00:00Z,18.3,72,1.52,24.9,52,1.64,-0.11,Non-Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,14.3
2016-10-18T20:00:00Z,7.8,83,0.88,21,48,1.2,-0.35,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,9.6
2016-10-26T03:00:00Z,10.9,93,1.21,19,55,1.2,-0.06,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,9.7
2016-11-26T05:00:00Z,4,96,0.78,18.5,43,0.92,-0.22,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,5.7
2016-08-24T03:00:00Z,11.5,91,1.23,22.5,59,1.62,-0.51,Non-Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,14.2
2015-02-19T15:00:00Z,5.1,86,0.76,18,47,0.97,-0.2,Heating,Pre Retrofit,H01,ET,1994,1,17433,Living Room,6.5
2016-11-07T14:00:00Z,7.8,68,0.72,21.9,35,0.92,-0.15,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,5.7
2016-09-07T17:00:00Z,16.9,88,1.68,25,60,1.91,-0.3,Non-Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,16.8
2016-02-22T16:00:00Z,6.8,70,0.69,20.5,41,0.99,-0.28,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,6.8
2016-12-12T07:00:00Z,7.7,94,0.99,18,47,0.97,0.01,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,6.5
2015-09-19T13:00:00Z,16.1,74,1.37,22,50,1.32,0.01,Non-Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,11
2016-06-01T11:00:00Z,15.6,70,1.23,23,47,1.32,-0.07,Non-Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,11.1
2016-04-20T15:00:00Z,12.7,60,0.89,23,42,1.17,-0.32,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,9.3
2016-09-25T21:00:00Z,8.8,83,0.94,22.2,50,1.36,-0.43,Non-Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,11.5
2015-11-18T23:00:00Z,8.8,84,0.95,19,53,1.16,-0.33,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,9.1
2015-03-15T15:00:00Z,6.1,79,0.74,18,42,0.87,-0.11,Heating,Pre Retrofit,H01,ET,1994,1,17433,Living Room,4.9
2016-04-24T17:00:00Z,10.9,60,0.78,25.9,36,1.21,-0.44,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,9.8
2016-06-06T03:00:00Z,9.4,96,1.14,24,52,1.56,-0.5,Non-Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,13.6
2016-09-26T17:00:00Z,14,81,1.3,23,53,1.49,-0.2,Non-Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,12.9
2015-11-28T17:00:00Z,7.4,82,0.85,16.8,51,0.97,-0.17,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,6.6
2015-09-21T13:00:00Z,14.2,75,1.22,25,44,1.41,-0.22,Non-Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,12.1
2016-04-19T00:00:00Z,7,72,0.73,20.6,42,1.02,-0.41,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,7.3
2016-08-25T12:00:00Z,18.8,54,1.18,23.6,52,1.53,-0.41,Non-Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,13.3
2015-02-15T14:00:00Z,8.8,69,0.78,22,40,1.06,-0.3,Heating,Pre Retrofit,H01,ET,1994,1,17433,Living Room,7.8
2015-11-20T06:00:00Z,4.2,87,0.72,15.5,52,0.92,-0.27,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,5.8
2015-02-24T20:00:00Z,5.5,86,0.78,20,38,0.89,-0.14,Heating,Pre Retrofit,H01,ET,1994,1,17433,Living Room,5.2
2016-10-25T22:00:00Z,11.2,92,1.23,20.5,54,1.3,-0.09,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,10.9
2016-06-08T12:00:00Z,17.2,85,1.67,24.4,55,1.68,-0.02,Non-Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,14.8
2016-02-07T02:00:00Z,2.8,86,0.64,22,34,0.91,-0.47,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,5.6
2016-03-26T15:00:00Z,9.9,67,0.81,21.1,42,1.04,-0.33,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,7.5
